Hour,2019 kwh
1363,4593510.0
1364,4673051.0
1365,4603794.0
1366,4458088.0
1367,4192890.0
1368,3984102.0
1369,3868164.0
1370,3789051.0
1371,3748712.0
1372,3731452.0
1373,3799166.0
1374,4029773.0
1375,4349591.0
1376,4546689.0
1377,4553697.0
1378,4565304.0
1379,4598611.0
1380,4572772.0
1381,4493964.0
1382,4442822.0
1383,4377096.0
1384,4362909.0
1385,4370162.0
1386,4387049.0
1387,4535059.0
1388,4633911.0
1389,4560386.0
1390,4342841.0
1391,4123630.0
1392,3915500.0
1393,3778198.0
1394,3703727.0
1395,3674847.0
1396,3660540.0
1397,3771351.0
1398,3982690.0
1399,4350359.0
1400,4532228.0
1401,4539949.0
1402,4521160.0
1403,4501146.0
1404,4416341.0
1405,4372684.0
1406,4331815.0
1407,4284151.0
1408,4221286.0
1409,4204329.0
1410,4254223.0
1411,4393822.0
1412,4553527.0
1413,4490851.0
1414,4351339.0
1415,4112503.0
1416,3899982.0
1417,3769985.0
1418,3687413.0
1419,3640243.0
1420,3655473.0
1421,3732587.0
1422,3942641.0
1423,4282011.0
1424,4408649.0
1425,4441385.0
1426,4403563.0
1427,4364554.0
1428,4282789.0
1429,4204539.0
1430,4144240.0
1431,4078875.0
1432,4027106.0
1433,3997342.0
1434,4023624.0
1435,4136013.0
1436,4185816.0
1437,4141093.0
1438,4023130.0
1439,3776221.0
1440,3560507.0
1441,3398103.0
1442,3310580.0
1443,3253666.0
1444,3239559.0
1445,3285313.0
1446,3364372.0
1447,3523677.0
1448,3643817.0
1449,3721943.0
1450,3822797.0
1451,3810456.0
1452,3780012.0
1453,3739705.0
1454,3690548.0
1455,3628022.0
1456,3614625.0
1457,3639095.0
1458,3698101.0
1459,3816158.0
1460,3936041.0
1461,3874913.0
1462,3772273.0
1463,3654721.0
1464,3491179.0
1465,3374349.0
1466,3314009.0
1467,3283545.0
1468,3284070.0
1469,3277854.0
1470,3344197.0
1471,3459275.0
1472,3509197.0
1473,3609133.0
1474,3663422.0
1475,3693888.0
1476,3729402.0
1477,3726877.0
1478,3725110.0
1479,3702129.0
1480,3679291.0
1481,3734170.0
1482,3841200.0
1483,4041220.0
1484,4239434.0
1485,4231656.0
1486,4141597.0
1487,3933443.0
1488,3836091.0
1489,3714033.0
1490,3679561.0
1491,3679361.0
1492,3673418.0
1493,3777444.0
1494,4011141.0
1495,4371470.0
1496,4566054.0
1497,4599753.0
1498,4639201.0
1499,4660363.0
1500,4628390.0
1501,4615370.0
1502,4577871.0
1503,4519268.0
1504,4498283.0
1505,4491610.0
1506,4516448.0
1507,4651115.0
1508,4752058.0
1509,4715572.0
1510,4542309.0
1511,4295889.0
1512,4103501.0
1513,3957267.0
1514,3891895.0
1515,3854672.0
1516,3844276.0
1517,3913225.0
1518,4127460.0
1519,4463248.0
1520,4621995.0
1521,4652886.0
1522,4637556.0
1523,4669525.0
1524,4593055.0
1525,4586151.0
1526,4530797.0
1527,4447487.0
1528,4391530.0
1529,4428318.0
1530,4470574.0
1531,4600041.0
1532,4744776.0
1533,4698208.0
1534,4531855.0
1535,4256053.0
1536,4058987.0
1537,3948984.0
1538,3885698.0
1539,3821182.0
1540,3842787.0
1541,3910295.0
1542,4119028.0
1543,4458090.0
1544,4645877.0
1545,4653634.0
1546,4655355.0
1547,4599281.0
1548,4577530.0
1549,4542065.0
1550,4539302.0
1551,4494640.0
1552,4457998.0
1553,4441955.0
1554,4431345.0
1555,4523655.0
1556,4658939.0
1557,4609373.0
1558,4437101.0
1559,4166345.0
1560,3960215.0
1561,3828524.0
1562,3758178.0
1563,3724129.0
1564,3730978.0
1565,3786227.0
1566,4016054.0
1567,4391484.0
1568,4510240.0
1569,4564281.0
1570,4531519.0
1571,4497882.0
1572,4397997.0
1573,4355248.0
1574,4320407.0
1575,4296260.0
1576,4254078.0
1577,4225487.0
1578,4244406.0
1579,4399032.0
1580,4556390.0
1581,4513212.0
1582,4354691.0
1583,4156740.0
1584,3940198.0
1585,3823371.0
1586,3760585.0
1587,3722241.0
1588,3728087.0
1589,3816635.0
1590,4032679.0
1591,4373094.0
1592,4513741.0
1593,4514336.0
1594,4441502.0
1595,4376966.0
1596,4280870.0
1597,4223962.0
1598,4146391.0
1599,4040926.0
1600,3957529.0
1601,3940092.0
1602,3951702.0
1603,4040219.0
1604,4184693.0
1605,4147949.0
1606,4051113.0
1607,3828487.0
1608,3624040.0
1609,3454984.0
1610,3392111.0
1611,3346248.0
1612,3337903.0
1613,3356484.0
1614,3451571.0
1615,3602434.0
1616,3667331.0
1617,3746465.0
1618,3735086.0
1619,3715098.0
1620,3714718.0
1621,3648056.0
1622,3619040.0
1623,3607718.0
1624,3643388.0
1625,3689536.0
1626,3803326.0
1627,3907347.0
1628,3966241.0
1629,3922083.0
1630,3779767.0
1631,3571920.0
1632,3376433.0
1633,3206016.0
1634,3119020.0
1635,3074476.0
1636,3067661.0
1637,3111868.0
1638,3184819.0
1639,3328551.0
1640,3437950.0
1641,3498650.0
1642,3594978.0
1643,3686186.0
1644,3741471.0
1645,3784648.0
1646,3764694.0
1647,3775894.0
1648,3797825.0
1649,3827064.0
1650,3851793.0
1651,3980802.0
1652,4050882.0
1653,3942162.0
1654,3759859.0
1655,3580438.0
1656,3510921.0
1657,3455375.0
1658,3402886.0
1659,3427167.0
