Timestamp,Hour,DTE Res kWh,DTE Com kWh,Ann Arbor Res kWh,Ann Arbor Com kWh
2019-08-14 19:00:00,5420.0,3317144.37,2691634.23,252093.65469402136,105887.61125095094
2019-08-14 20:00:00,5421.0,3040051.51,2638041.58,231035.3756517321,103779.30187300539
2019-08-14 21:00:00,5422.0,2902306.46,2594627.92,220567.13875961554,102071.429123497
2019-08-14 22:00:00,5423.0,2620945.26,2444365.93,199184.47786653673,96160.19385773274
2019-08-14 23:00:00,5424.0,2239252.97,2383041.69,170176.9359504066,93747.7274040794
2019-08-15 00:00:00,5425.0,1904808.21,2396437.37,144760.07360212572,94274.70708819575
2019-08-15 01:00:00,5426.0,1656859.91,2354434.12,125916.69925656787,92622.31919770718
2019-08-15 02:00:00,5427.0,1497480.99,2359172.69,113804.34901117109,92808.7322892235
2019-08-15 03:00:00,5428.0,1400658.4200000002,2354680.87,106446.10565314454,92632.02622542476
2019-08-15 04:00:00,5429.0,1355311.87,2422107.2,102999.89522569028,95284.54599930144
2019-08-15 05:00:00,5430.0,1363522.55,2527315.44,103623.88384296083,99423.38815450644
2019-08-15 06:00:00,5431.0,1414474.35,2628448.52,107496.07752599877,103401.91545227056
2019-08-15 07:00:00,5432.0,1444522.68,2728695.0,109779.6662041581,107345.5643274434
2019-08-15 08:00:00,5433.0,1481377.54,2801741.8800000004,112580.53204366226,110219.19386682361
2019-08-15 09:00:00,5434.0,1587469.2199999995,2877409.15,120643.20172596748,113195.90830330954
2019-08-15 10:00:00,5435.0,1773542.25,2955800.1300000004,134784.22935109024,116279.77219659237
2019-08-15 11:00:00,5436.0,2015630.27,2886495.25,153182.23887741042,113553.35115860689
2019-08-15 12:00:00,5437.0,2247840.01,2901232.3000000003,170829.52687053094,114133.09970095837
2019-08-15 13:00:00,5438.0,2484530.4,2912234.06,188817.33167808995,114565.90371012579
2019-08-15 14:00:00,5439.0,2711069.86,2870785.93,206033.69431828763,112935.35397658385
2019-08-15 15:00:00,5440.0,2890190.76,2852042.8,219646.37959103694,112198.00815115716
2019-08-15 16:00:00,5441.0,2990479.45,2772715.36,227268.03833318444,109077.30436658197
2019-08-15 17:00:00,5442.0,3120641.76,2733103.8000000003,237160.00828422882,107519.00442390228
2019-08-15 18:00:00,5443.0,3129543.89,2661902.58,237836.54515930652,104717.98227166377
2019-08-15 19:00:00,5444.0,2933166.4,2652689.66,222912.40751806824,104355.55037784508
2019-08-15 20:00:00,5445.0,2767852.99,2641120.83,210349.05270188002,103900.43810441098
2019-08-15 21:00:00,5446.0,2678434.0900000003,2570104.2,203553.46746790988,101106.67763503524
2019-08-15 22:00:00,5447.0,2430694.4,2480925.62,184725.94689639373,97598.43468519289
2019-08-15 23:00:00,5448.0,2090407.07,2443270.74,158865.06563913013,96117.10960368611
2019-08-16 00:00:00,5449.0,1795236.9300000002,2430384.44,136432.96409356312,95610.168686657
2019-08-16 01:00:00,5450.0,1584335.21,2418773.46,120405.02576899293,95153.39825225716
2019-08-16 02:00:00,5451.0,1443375.38,2383809.79,109692.47462677419,93777.94409299476
2019-08-16 03:00:00,5452.0,1349154.34,2374420.27,102531.94024138911,93408.5648391156
2019-08-16 04:00:00,5453.0,1305488.15,2414785.01,99213.43245402271,94996.49452500226
2019-08-16 05:00:00,5454.0,1317627.59,2532745.01,100135.99579591876,99636.9848575844
2019-08-16 06:00:00,5455.0,1376859.2899999998,2684849.84,104637.43862179726,105620.71657303075
2019-08-16 07:00:00,5456.0,1417929.25,2712589.28,107758.64022163519,106711.97295783272
2019-08-16 08:00:00,5457.0,1472247.58,2785162.74,111886.68072852935,109566.9783794336
2019-08-16 09:00:00,5458.0,1592156.64,2878648.86,120999.43247961596,113244.67790546456
